nces_district_id,epa_high_priority,epa_rural_indicator
3626130,No,Yes
3626190,Yes,No
3626580,Yes,No
3626730,Yes,No
3626850,Yes,No
3626880,No,No
3627330,No,Yes
3622140,Yes,No
3628020,Yes,Yes
3628590,Yes,No
3628710,Yes,No
3628800,No,Yes
3628950,Yes,No
3600019,Yes,No
3629370,Yes,No
3629820,Yes,No
3629910,Yes,No
3630120,Yes,No
3630210,Yes,No
3630450,No,Yes
3631290,Yes,No
3631920,Yes,No
7200030,Yes,No
7800002,Yes,No
7800030,Yes,No
1100030,Yes,No
1000190,Yes,No
1000810,Yes,No
1001530,Yes,No
1001850,Yes,No
2400030,Yes,No
2400090,Yes,No
2400300,Yes,No
2400570,Yes,No
4202130,Yes,No
4202310,No,Yes
4202280,Yes,No
4203630,Yes,No
4204200,Yes,No
4204080,Yes,No
4204830,Yes,No
4204980,Yes,No
4205070,Yes,No
4205860,Yes,No
4206030,Yes,No
4206120,Yes,No
4206590,Yes,No
4206860,Yes,No
4206930,No,Yes
4208010,Yes,No
4208060,Yes,No
4209300,Yes,No
4209690,Yes,No
4209750,Yes,No
4208280,No,Yes
4210530,Yes,Yes
4210950,Yes,No
4211420,Yes,No
4211520,Yes,No
4211580,Yes,No
4211880,Yes,No
4212210,Yes,No
4212330,Yes,No
4213140,Yes,No
4213320,Yes,No
4213440,Yes,No
4214430,Yes,No
4214940,Yes,No
4215150,Yes,No
4215270,Yes,No
4215290,Yes,No
4215600,Yes,No
4216020,Yes,No
4216530,Yes,No
4216620,Yes,No
4216740,Yes,No
4216980,Yes,No
4217130,No,Yes
4217700,Yes,Yes
4217730,Yes,No
4218090,Yes,No
4218450,Yes,No
4218990,Yes,No
4219170,Yes,No
4219530,Yes,Yes
4219680,Yes,No
4220040,Yes,No
4220130,No,Yes
4220460,Yes,No
4220760,Yes,No
4221090,Yes,No
4280630,Not in SIAPE,Yes
4289190,Not in SIAPE,Yes
4221240,Yes,No
4221330,Yes,No
4221490,Yes,No
4221690,No,Yes
4221910,Yes,No
4222400,Yes,No
4222200,Yes,No
4222790,Yes,No
4222800,Yes,No
4222830,Yes,No
4223490,Yes,No
4223880,Yes,No
4224090,Yes,No
4224120,Yes,No
4224150,Yes,No
4224320,Yes,No
4224990,Yes,No
4225170,No,Yes
4226300,Yes,No
4226370,Yes,No
4226390,Yes,No
4216500,Yes,No
4226820,Yes,No
5101190,Yes,No
5100060,Yes,Yes
5100330,No,Yes
5100450,Yes,No
5100480,Yes,No
5100510,Yes,Yes
5100540,No,Yes
5100560,Yes,No
5100690,Yes,No
5100750,Yes,Yes
5100930,Yes,No
5100990,Yes,No
5101080,Yes,Yes
5101110,Yes,No
5101140,Yes,Yes
5101410,Yes,No
5101510,Yes,No
5101560,Yes,No
5100029,Not in SIAPE,Yes
5101690,Yes,Yes
5101740,Yes,No
5101770,Yes,No
5101920,Yes,No
5101950,Yes,Yes
5101980,Yes,No
5102070,Yes,No
5102160,Yes,Yes
5102190,Yes,No
5102310,Yes,Yes
5102340,Yes,No
5102400,Yes,No
5102460,Yes,No
5102490,Yes,No
5102640,Yes,No
5102670,Yes,No
5102710,Yes,Yes
5102730,Yes,No
5102760,Yes,No
5102790,Yes,No
5102910,Yes,No
5103000,Yes,No
5103060,Yes,No
5100083,Not in SIAPE,Yes
5103240,Yes,No
5103300,Yes,No
5103420,Yes,No
5103520,Yes,No
5103750,Yes,No
5103780,Yes,No
5103810,Yes,No
5103980,Yes,No
5104080,Yes,No
5104110,Yes,No
5400030,Yes,No
5400090,Yes,No
5400120,Yes,Yes
5400180,Yes,No
5400210,Yes,Yes
5400240,Yes,No
5400270,Yes,Yes
5400300,Yes,No
5400330,Yes,No
5400360,Yes,No
5400420,Yes,No
5400630,Yes,No
5400660,Yes,No
5400690,Yes,No
5400750,Yes,No
5400780,Yes,No
5400810,Yes,Yes
5400840,Yes,No
5400900,Yes,No
5401020,Yes,No
5401080,Yes,No
5401140,Yes,Yes
5401230,Yes,No
5401260,Yes,No
5401290,Yes,No
5401320,Yes,No
5401350,Yes,No
5401410,No,Yes
5401470,Yes,No
5401500,Yes,No
5401530,Yes,Yes
5401560,Yes,No
5401590,Yes,No
5401650,Yes,No
0100005,Yes,No
0100030,Yes,No
0100060,Yes,No
0100090,Yes,No
0100180,Yes,No
0100300,Yes,Yes
0100330,Yes,No
0100360,Yes,No
0100390,Yes,No
0100012,Yes,No
0100208,Not in SIAPE,Yes
0100450,Yes,No
0100480,Yes,No
0100510,Yes,Yes
0100540,Yes,No
0100600,Yes,No
0100630,Yes,No
0100188,Yes,No
0100660,Yes,No
0100690,Yes,Yes
0100720,Yes,Yes
0100750,Yes,No
0100780,Yes,No
0100840,Yes,No
0100870,Yes,No
0100900,Yes,Yes
0100930,Yes,No
0100960,Yes,Yes
0101050,Yes,No
0101080,Yes,No
0101110,Yes,No
0101140,Yes,No
0101200,Yes,No
0101230,Yes,No
0101260,Yes,Yes
0101350,Yes,No
0101410,Yes,No
0101440,Yes,No
0101470,Yes,No
0101530,Yes,No
0101560,Yes,No
0101590,Yes,No
0101620,Yes,No
0101640,Yes,No
0101660,Yes,No
0101680,Yes,No
0101690,Yes,No
0101710,Yes,No
0101720,Yes,No
0101740,Yes,No
0101770,Yes,No
0101830,Yes,No
0101860,Yes,No
0101890,Yes,No
0101920,Yes,No
0101950,Yes,Yes
0101980,Yes,No
0102040,Yes,No
0100011,Yes,No
0102130,Yes,Yes
0102160,Yes,No
0102190,Yes,No
0102250,Yes,Yes
0102310,Yes,Yes
0100006,Yes,No
0102350,Yes,No
0102370,Yes,No
0102400,Yes,No
0102430,Yes,No
0102580,Yes,No
0102610,Yes,No
0102635,Yes,No
0102640,Yes,No
0102670,Yes,Yes
0102700,Yes,No
0102730,Yes,No
0102760,Yes,No
0102790,Yes,No
0102820,Yes,Yes
0102850,Yes,No
0102880,Yes,No
0102910,Yes,No
0102940,Yes,No
0102970,Yes,No
0103000,Yes,No
0103090,Yes,Yes
0103120,Yes,No
0103150,Yes,No
0103180,Yes,No
0103210,Yes,No
0103240,Yes,No
0103270,Yes,No
0103300,Yes,No
0103330,Yes,No
0103360,Yes,No
0103420,Yes,No
0100199,Not in SIAPE,Yes
0103450,Yes,No
0103480,Yes,Yes
0103510,Yes,Yes
0103540,No,Yes
0103580,Yes,Yes
5900092,Not in SIAPE,Yes
5900090,Not in SIAPE,No
1200060,Yes,No
1200090,Yes,No
1200120,Yes,No
1200210,Yes,No
1200270,Yes,No
1200360,Yes,No
1200420,Yes,No
1200450,Yes,No
1200480,Yes,No
1200510,Yes,No
1200570,Yes,No
